TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Ano Notificação e Mês Diagnóstico
Período:2001-2019
"Ano Notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"1980";-;-;-;-;-;-;-;1;-;-;-;-;1
"1981";-;1;-;1;-;-;-;1;-;-;-;-;3
"1982";1;-;-;-;-;-;-;-;1;-;-;-;2
"1983";-;-;1;-;-;-;-;-;1;1;-;-;3
"1984";-;-;-;-;1;-;-;-;-;-;-;-;1
"1985";-;-;-;-;-;-;-;-;-;-;1;-;1
"1986";-;-;-;-;-;-;-;-;1;-;-;-;1
"1987";-;-;-;-;-;-;1;-;1;-;-;-;2
"1988";-;-;-;-;-;-;-;-;-;1;-;-;1
"1989";-;1;-;-;-;-;1;1;1;-;-;-;4
"1990";-;-;1;1;-;-;-;-;-;-;-;-;2
"1991";-;-;-;-;1;1;-;1;-;-;1;-;4
"1992";1;1;-;1;-;-;-;-;2;-;-;-;5
"1993";-;-;1;1;-;-;-;-;-;1;-;1;4
"1995";-;-;-;1;1;1;-;-;-;-;-;-;3
"1996";-;-;-;-;-;-;-;-;-;-;1;-;1
"1997";-;-;1;-;-;-;-;-;-;1;-;-;2
"1998";-;-;-;-;1;-;1;-;-;-;-;1;3
"1999";-;-;-;-;-;-;-;1;1;-;-;-;2
"2001";7891;6423;8012;7238;7538;6709;6862;7863;6456;7133;6270;5260;83655
"2002";8014;7284;7922;8717;7759;6650;7687;8238;7593;8127;7419;6679;92089
"2003";8162;8046;7471;8003;8065;7110;7982;7674;8133;8447;7564;7180;93837
"2004";7547;6730;8606;8051;7762;7295;7824;8168;7902;8092;7798;7211;92986
"2005";7461;6790;8431;7977;7972;7784;7239;8431;7593;7168;7458;7149;91453
"2006";7476;6736;8203;6865;7653;7040;7201;7820;7018;7173;7092;7050;87327
"2007";7258;6168;8063;7232;7350;6558;7142;7540;6648;7433;6572;5859;83823
"2008";7373;6638;7283;7604;6916;6911;7659;7748;7606;7522;6775;6417;86452
"2009";7123;6475;8153;7530;7187;6761;7429;7428;7399;7312;7064;6852;86713
"2010";6878;6401;8311;7063;6970;6605;7161;7378;7185;7224;7048;7184;85408
"2011";7104;7256;7474;7549;7657;6953;7054;7973;7385;6994;7330;6895;87624
"2012";7395;6757;7894;6920;7615;6767;7277;7989;6687;7614;6894;6324;86133
"2013";7555;6241;7111;7710;6988;6986;7384;7980;7446;7780;7099;6571;86851
"2014";7674;7027;6749;7230;7184;6305;7527;7125;7482;7466;6860;6388;85017
"2015";7094;6180;7832;6905;6886;6906;7511;7424;7201;7357;7281;6758;85335
"2016";7077;6776;8040;7345;7302;7493;7014;7687;6978;6619;7000;6572;85903
"2017";7514;6813;8695;6793;8079;7427;7212;8127;7499;7771;7494;7033;90457
"2018";7884;6819;7905;8116;7891;7702;8081;8912;7675;8650;7719;6892;94246
"2019";8419;7776;7678;8300;8420;7416;8425;8276;8169;8641;7603;7287;96410
"2020";68;47;38;46;66;64;126;166;178;343;521;1330;2993
"Total";142969;129386;149875;143199;143264;133444;141800;149952;140241;144870;136864;128893;1684757
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Excluídos os registros encerrados com mudança de diagnóstico.
 Períodos disponíveis - Correspondem aos anos de notificação dos casos.
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, e na coluna a variável “Ano do diagnóstico”; em “Períodos Disponíveis” assinale o ano inicial da série e todos os posteriores até o ano atual (para
 Para cálculo da incidência selecione o local de residência e as seguintes categorias da variável “Tipo de entrada”: caso novo, não sabe e pós óbito.
 A variável “Beneficiário de programa de transferência de renda do governo” não contém dados do Estado de São Paulo (SP). Quanto a variável “Terapia antirretroviral durante o tratamento da TB”, os dados do estado de SP foram inseridos a partir do seg
 Em 2014, foram incluídas as seguintes variáveis no Sinan-Net (Tuberculose): populações especiais (população privada de liberdade, população em situação de rua, profissional de saúde e imigrante), doenças e agravos associados (uso de drogas ilícitas
 A variável “institucionalizado” foi descontinuada em 2015. Portanto, para análise referente à população privada de liberdade após esse período, utilizar a variável “PPL” (população privada de liberdade).
 Para informações detalhadas sobre o Sinan-Tuberculose e sobre as análises de indicadores epidemiológicos e operacionais da tuberculose, acessar o link: http://portalsinan.saude.gov.br/tuberculose
 Em caso de dúvidas, encaminhar e-mail para: tuberculose@saude.gov.br
 Dados de 2001 a 2015 estão finalizados.
 Dados de 2016 a 2019 atualizados em11/2020, sujeitos à revisão.
 Dados disponibilizados no TABNET em12/2020, após homologação da Coordenação Geral de Vigilância das Doenças de Transmissão Respiratória de Condições Crônicas/DCCI/SVS.
 
